DATE,DEXJPUS
2021-10-28,113.38
2021-10-29,114.03
2021-11-01,114.19
2021-11-02,113.78
2021-11-03,114.06
2021-11-04,113.63
2021-11-05,113.45
2021-11-08,113.15
2021-11-09,112.87
2021-11-10,113.89
2021-11-11,.
2021-11-12,113.9
2021-11-15,113.96
2021-11-16,114.62
2021-11-17,114.33
2021-11-18,114.22
2021-11-19,113.81
2021-11-22,114.69
2021-11-23,114.98
2021-11-24,115.34
2021-11-25,.
2021-11-26,113.46
2021-11-29,113.75
2021-11-30,113.22
2021-12-01,112.82
2021-12-02,113.1
2021-12-03,112.88
2021-12-06,113.31
2021-12-07,113.61
2021-12-08,113.83
2021-12-09,113.53
2021-12-10,113.36
2021-12-13,113.42
2021-12-14,113.63
2021-12-15,113.83
2021-12-16,113.67
2021-12-17,113.56
2021-12-20,113.45
2021-12-21,114.11
2021-12-22,114.22
2021-12-23,114.42
2021-12-24,.
2021-12-27,114.85
2021-12-28,114.75
2021-12-29,114.97
2021-12-30,115.17
2021-12-31,.
2022-01-03,115.27
2022-01-04,116.12
2022-01-05,115.91
2022-01-06,115.78
2022-01-07,115.61
2022-01-10,115.14
2022-01-11,115.38
2022-01-12,114.74
2022-01-13,114.06
2022-01-14,113.89
2022-01-17,.
2022-01-18,114.6
2022-01-19,114.28
2022-01-20,114.08
2022-01-21,113.72
2022-01-24,113.82
2022-01-25,113.88
2022-01-26,114.33
2022-01-27,115.47
2022-01-28,115.21
2022-01-31,115.22
2022-02-01,114.77
2022-02-02,114.36
2022-02-03,114.88
2022-02-04,115.22
2022-02-07,115.09
2022-02-08,115.62
2022-02-09,115.44
2022-02-10,115.84
2022-02-11,115.91
2022-02-14,115.72
2022-02-15,115.64
2022-02-16,115.41
2022-02-17,115.03
2022-02-18,115.08
2022-02-21,.
2022-02-22,114.94
2022-02-23,115.12
2022-02-24,115.45
2022-02-25,115.62
2022-02-28,115.11
2022-03-01,114.87
2022-03-02,115.59
2022-03-03,115.67
2022-03-04,114.65
2022-03-07,115.41
2022-03-08,115.64
2022-03-09,115.87
2022-03-10,116.05
2022-03-11,117.08
2022-03-14,118.0
2022-03-15,118.19
2022-03-16,118.48
2022-03-17,118.45
2022-03-18,119.17
2022-03-21,119.15
2022-03-22,120.66
2022-03-23,121.02
2022-03-24,122.08
2022-03-25,121.98
2022-03-28,123.25
2022-03-29,122.61
2022-03-30,121.97
2022-03-31,121.44
2022-04-01,122.6
2022-04-04,122.7
2022-04-05,123.48
2022-04-06,123.7
2022-04-07,123.8
2022-04-08,124.31
2022-04-11,125.55
2022-04-12,125.25
2022-04-13,125.51
2022-04-14,125.92
2022-04-15,126.31
2022-04-18,126.77
2022-04-19,128.55
2022-04-20,127.76
2022-04-21,128.62
2022-04-22,128.78
2022-04-25,127.66
2022-04-26,127.37
2022-04-27,128.44
2022-04-28,130.94
2022-04-29,129.84
2022-05-02,130.18
2022-05-03,130.09
2022-05-04,129.97
2022-05-05,130.41
2022-05-06,130.35
2022-05-09,130.37
2022-05-10,130.21
2022-05-11,130.2
2022-05-12,128.1
2022-05-13,129.23
2022-05-16,129.15
2022-05-17,129.31
2022-05-18,128.22
2022-05-19,127.62
2022-05-20,127.86
2022-05-23,127.78
2022-05-24,126.56
2022-05-25,127.31
2022-05-26,127.23
2022-05-27,127.14
2022-05-30,.
2022-05-31,128.53
2022-06-01,130.09
2022-06-02,129.83
2022-06-03,130.71
2022-06-06,131.55
2022-06-07,132.53
2022-06-08,134.06
2022-06-09,134.06
2022-06-10,134.19
2022-06-13,134.12
2022-06-14,134.89
2022-06-15,134.5
2022-06-16,131.65
2022-06-17,135.14
2022-06-20,.
2022-06-21,136.25
2022-06-22,136.05
2022-06-23,134.72
2022-06-24,135.22
2022-06-27,135.26
2022-06-28,136.19
2022-06-29,136.5
2022-06-30,135.69
2022-07-01,135.09
2022-07-04,.
2022-07-05,135.72
2022-07-06,135.66
2022-07-07,135.99
2022-07-08,136.16
2022-07-11,137.29
2022-07-12,136.68
2022-07-13,137.34
2022-07-14,138.94
2022-07-15,138.57
2022-07-18,138.23
2022-07-19,137.94
2022-07-20,138.16
2022-07-21,137.94
2022-07-22,136.12
2022-07-25,136.72
2022-07-26,136.62
2022-07-27,137.31
2022-07-28,134.45
2022-07-29,133.25
2022-08-01,131.8
2022-08-02,132.32
2022-08-03,134.18
2022-08-04,133.28
2022-08-05,135.33
2022-08-08,134.73
2022-08-09,134.95
2022-08-10,132.58
2022-08-11,132.66
2022-08-12,133.57
2022-08-15,133.13
2022-08-16,134.38
2022-08-17,135.4
2022-08-18,135.29
2022-08-19,137.01
2022-08-22,137.57
2022-08-23,136.36
2022-08-24,136.92
2022-08-25,136.83
2022-08-26,137.07
2022-08-29,138.74
2022-08-30,138.73
2022-08-31,138.69
2022-09-01,139.93
2022-09-02,140.03
2022-09-05,.
2022-09-06,142.95
2022-09-07,144.39
2022-09-08,144.05
2022-09-09,142.44
2022-09-12,142.41
2022-09-13,144.3
2022-09-14,142.93
2022-09-15,143.57
2022-09-16,143.04
2022-09-19,143.34
2022-09-20,143.64
2022-09-21,144.14
2022-09-22,142.16
2022-09-23,143.18
2022-09-26,144.45
2022-09-27,144.71
2022-09-28,144.15
2022-09-29,144.45
2022-09-30,144.71
2022-10-03,144.5
2022-10-04,144.32
2022-10-05,144.73
2022-10-06,144.94
2022-10-07,145.19
2022-10-10,.
2022-10-11,145.55
2022-10-12,146.87
2022-10-13,147.15
2022-10-14,148.46
2022-10-17,148.71
2022-10-18,149.23
2022-10-19,149.77
2022-10-20,149.82
2022-10-21,146.35
2022-10-24,148.76
2022-10-25,147.85
2022-10-26,146.5
2022-10-27,146.02
2022-10-28,147.68
